Teste,Tamanho,Real,User,Sys
452,1024,0m0.001s,0m0.001s,0m0.000s
453,1024,0m0.001s,0m0.001s,0m0.000s
454,1024,0m0.001s,0m0.001s,0m0.000s
455,1024,0m0.001s,0m0.001s,0m0.000s
456,1024,0m0.001s,0m0.001s,0m0.000s
457,1024,0m0.001s,0m0.000s,0m0.000s
458,1024,0m0.001s,0m0.000s,0m0.000s
459,1024,0m0.001s,0m0.001s,0m0.000s
460,1024,0m0.001s,0m0.001s,0m0.000s
461,1024,0m0.001s,0m0.001s,0m0.000s
462,1024,0m0.001s,0m0.001s,0m0.000s
463,1024,0m0.001s,0m0.000s,0m0.000s
464,1024,0m0.001s,0m0.001s,0m0.000s
465,1024,0m0.001s,0m0.001s,0m0.000s
466,1024,0m0.001s,0m0.001s,0m0.000s
467,1024,0m0.001s,0m0.001s,0m0.000s
468,1024,0m0.001s,0m0.001s,0m0.000s
469,1024,0m0.001s,0m0.001s,0m0.000s
470,1024,0m0.001s,0m0.001s,0m0.000s
471,1024,0m0.001s,0m0.001s,0m0.000s
472,1024,0m0.001s,0m0.001s,0m0.000s
473,1024,0m0.001s,0m0.001s,0m0.000s
474,1024,0m0.001s,0m0.001s,0m0.000s
475,1024,0m0.001s,0m0.001s,0m0.000s
476,1024,0m0.001s,0m0.001s,0m0.000s
477,1024,0m0.001s,0m0.001s,0m0.000s
478,1024,0m0.001s,0m0.001s,0m0.000s
479,1024,0m0.001s,0m0.001s,0m0.000s
480,1024,0m0.001s,0m0.001s,0m0.000s
481,1024,0m0.001s,0m0.001s,0m0.000s
482,1024,0m0.001s,0m0.001s,0m0.000s
483,1024,0m0.001s,0m0.001s,0m0.000s
484,1024,0m0.001s,0m0.000s,0m0.001s
485,1024,0m0.001s,0m0.000s,0m0.000s
486,1024,0m0.001s,0m0.001s,0m0.000s
487,1024,0m0.001s,0m0.001s,0m0.000s
488,1024,0m0.001s,0m0.001s,0m0.000s
489,1024,0m0.001s,0m0.000s,0m0.001s
490,1024,0m0.001s,0m0.001s,0m0.000s
491,1024,0m0.001s,0m0.001s,0m0.000s
492,1024,0m0.001s,0m0.000s,0m0.000s
493,1024,0m0.001s,0m0.000s,0m0.001s
494,1024,0m0.001s,0m0.001s,0m0.000s
495,1024,0m0.001s,0m0.001s,0m0.000s
496,1024,0m0.001s,0m0.000s,0m0.000s
497,1024,0m0.001s,0m0.001s,0m0.000s
498,1024,0m0.001s,0m0.001s,0m0.000s
499,1024,0m0.001s,0m0.001s,0m0.000s
500,1024,0m0.001s,0m0.001s,0m0.000s
501,1024,0m0.001s,0m0.001s,0m0.000s
502,1024,0m0.001s,0m0.001s,0m0.000s
503,1024,0m0.001s,0m0.001s,0m0.000s
504,1024,0m0.001s,0m0.001s,0m0.000s
505,1024,0m0.001s,0m0.001s,0m0.000s
506,1024,0m0.001s,0m0.001s,0m0.000s
507,1024,0m0.001s,0m0.001s,0m0.000s
508,1024,0m0.001s,0m0.000s,0m0.000s
509,1024,0m0.001s,0m0.001s,0m0.000s
510,1024,0m0.001s,0m0.001s,0m0.000s
511,1024,0m0.001s,0m0.000s,0m0.000s
512,1024,0m0.001s,0m0.001s,0m0.000s
513,1024,0m0.001s,0m0.001s,0m0.000s
514,1024,0m0.001s,0m0.001s,0m0.000s
515,1024,0m0.001s,0m0.001s,0m0.000s
516,1024,0m0.001s,0m0.001s,0m0.000s
517,1024,0m0.001s,0m0.001s,0m0.000s
518,1024,0m0.001s,0m0.001s,0m0.000s
519,1024,0m0.001s,0m0.001s,0m0.000s
520,1024,0m0.001s,0m0.001s,0m0.000s
521,1024,0m0.001s,0m0.001s,0m0.000s
522,1024,0m0.001s,0m0.001s,0m0.000s
523,1024,0m0.001s,0m0.000s,0m0.000s
524,1024,0m0.001s,0m0.001s,0m0.000s
525,1024,0m0.001s,0m0.000s,0m0.001s
526,1024,0m0.001s,0m0.001s,0m0.000s
527,1024,0m0.001s,0m0.001s,0m0.000s
528,1024,0m0.001s,0m0.001s,0m0.000s
529,1024,0m0.001s,0m0.000s,0m0.001s
530,1024,0m0.001s,0m0.001s,0m0.000s
531,1024,0m0.001s,0m0.001s,0m0.000s
532,1024,0m0.001s,0m0.001s,0m0.000s
533,1024,0m0.001s,0m0.000s,0m0.001s
534,1024,0m0.001s,0m0.001s,0m0.000s
535,1024,0m0.001s,0m0.001s,0m0.000s
